City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
147,Taoudenni,ML,2020-04-20 06:47:36,22.68,-3.98,72.91,27,0,5.91,clear sky,0.0,0.0
148,Saint-Francois,FR,2020-04-20 06:47:36,46.42,3.91,55.4,87,90,0.83,mist,0.0,0.0
149,Laguna,US,2020-04-20 06:47:36,38.42,-121.42,55.99,76,1,6.93,clear sky,0.0,0.0
150,Manado,ID,2020-04-20 06:47:36,1.49,124.85,77.0,94,40,2.24,thunderstorm with light rain,0.0,0.0
151,Bethel,US,2020-04-20 06:47:37,41.37,-73.41,51.8,74,75,5.75,broken clouds,0.0,0.0
152,Kavieng,PG,2020-04-20 06:47:37,-2.57,150.8,84.74,71,57,5.41,light rain,0.025590551181102365,0.0
153,Coahuayana,MX,2020-04-20 06:47:37,18.73,-103.68,72.5,77,1,2.71,clear sky,0.0,0.0
154,Hailey,US,2020-04-20 06:44:59,43.52,-114.32,37.4,39,1,9.17,clear sky,0.0,0.0
155,Nisia Floresta,BR,2020-04-20 06:47:38,-6.09,-35.21,77.0,94,40,2.24,scattered clouds,0.0,0.0
156,Severodvinsk,RU,2020-04-20 06:47:38,64.56,39.83,33.8,86,75,6.71,broken clouds,0.0,0.0
157,Topaipi,CO,2020-04-20 06:47:38,5.33,-74.3,64.06,63,92,3.31,light rain,0.042913385826771656,0.0
158,Nemuro,JP,2020-04-20 06:47:38,43.32,145.57,39.2,86,75,11.41,light intensity shower rain,0.0,0.0
159,Praia,CV,2020-04-20 06:47:39,14.92,-23.51,68.0,68,20,11.41,few clouds,0.0,0.0
160,Leh,IN,2020-04-20 06:47:39,34.17,77.58,37.53,16,87,1.14,overcast clouds,0.0,0.0
161,Provideniya,RU,2020-04-20 06:47:39,64.38,-173.3,21.36,95,100,11.59,light snow,0.0,0.012598425196850395
162,Goderich,CA,2020-04-20 06:47:39,43.75,-81.72,33.01,67,0,8.3,clear sky,0.0,0.0
163,Xingcheng,CN,2020-04-20 06:47:39,40.62,120.72,54.79,34,0,22.46,clear sky,0.0,0.0
164,North Battleford,CA,2020-04-20 06:47:39,52.78,-108.28,35.6,74,1,5.82,clear sky,0.0,0.0
165,Prnjavor,BA,2020-04-20 06:44:01,44.87,17.66,53.6,54,100,3.36,light rain,0.018110236220472444,0.0
166,Ballina,AU,2020-04-20 06:47:40,-28.87,153.57,78.8,36,81,5.82,broken clouds,0.0,0.0
167,Daru,PG,2020-04-20 06:47:40,-9.08,143.21,84.49,74,73,8.66,light rain,0.006692913385826772,0.0
168,Faanui,PF,2020-04-20 06:47:40,-16.48,-151.75,82.96,76,89,21.74,light rain,0.009448818897637795,0.0
169,Tulagi,SB,2020-04-20 06:47:41,-9.1,160.15,78.8,88,75,6.93,broken clouds,0.0,0.0
170,Ponta Do Sol,PT,2020-04-20 06:47:41,32.67,-17.1,60.01,52,17,11.01,light rain,0.006692913385826772,0.0
171,Norman Wells,CA,2020-04-20 06:47:41,65.28,-126.83,26.6,100,90,3.36,light snow,0.0,0.0
172,Moron,AR,2020-04-20 06:47:17,-34.65,-58.62,62.01,93,0,5.21,clear sky,0.0,0.0
173,Cockburn Town,TC,2020-04-20 06:46:38,21.46,-71.14,79.09,82,38,18.48,scattered clouds,0.0,0.0
174,Bani,DO,2020-04-20 06:47:42,18.28,-70.33,77.0,88,13,3.0,light rain,0.005905511811023622,0.0
175,Vao,NC,2020-04-20 06:47:42,-22.67,167.48,71.26,92,100,22.75,heavy intensity rain,1.6070866141732285,0.0
176,Carnarvon,AU,2020-04-20 06:47:42,-24.87,113.63,80.6,51,30,18.34,scattered clouds,0.0,0.0
177,Krasnoselkup,RU,2020-04-20 06:47:42,65.7,82.47,40.5,92,100,11.36,light rain,0.015748031496062995,0.0
178,Georgetown,MY,2020-04-20 06:47:42,5.41,100.34,93.2,75,20,6.93,few clouds,0.0,0.0
179,Padang,ID,2020-04-20 06:47:43,-0.95,100.35,88.03,67,14,2.84,light rain,0.043700787401574806,0.0
180,Chazuta,PE,2020-04-20 06:47:43,-6.57,-76.14,70.81,65,9,1.5,clear sky,0.0,0.0
181,Anadyr,RU,2020-04-20 06:47:43,64.75,177.48,19.4,73,20,8.95,few clouds,0.0,0.0
182,Asau,RO,2020-04-20 06:47:43,46.43,26.4,46.4,49,71,17.22,broken clouds,0.0,0.0
183,Laguna De Perlas,NI,2020-04-20 06:47:43,12.34,-83.67,77.95,79,1,7.65,clear sky,0.0,0.0
184,Haines Junction,CA,2020-04-20 06:47:44,60.75,-137.51,38.75,63,87,7.78,overcast clouds,0.0,0.0
185,Vardo,NO,2020-04-20 06:47:44,70.37,31.11,39.2,77,93,13.87,overcast clouds,0.0,0.0
186,Mar Del Plata,AR,2020-04-20 06:45:15,-38.0,-57.56,60.01,87,89,4.85,overcast clouds,0.0,0.0
187,Tessalit,ML,2020-04-20 06:47:44,20.2,1.01,75.52,38,14,9.28,few clouds,0.0,0.0
188,Lorengau,PG,2020-04-20 06:47:44,-2.02,147.27,85.41,69,34,4.76,light rain,0.011023622047244096,0.0
189,Salalah,OM,2020-04-20 06:47:45,17.02,54.09,87.8,62,40,9.17,scattered clouds,0.0,0.0
190,Torbay,CA,2020-04-20 06:47:45,47.67,-52.73,35.01,100,90,14.99,light rain,0.0,0.0
191,Kamen-Rybolov,RU,2020-04-20 06:47:45,44.75,132.04,42.76,84,100,7.49,light rain,0.07362204724409449,0.0
192,Opuwo,NA,2020-04-20 06:47:45,-18.06,13.84,70.3,52,95,5.73,light rain,0.006299212598425198,0.0
193,Sivaki,RU,2020-04-20 06:47:45,52.63,126.75,27.88,88,100,18.14,light snow,0.0,0.005905511811023622
194,Tuatapere,NZ,2020-04-20 06:47:46,-46.13,167.68,54.0,83,19,4.0,few clouds,0.0,0.0
195,Kaeo,NZ,2020-04-20 06:47:46,-35.1,173.78,61.0,95,100,1.99,moderate rain,0.16377952755905514,0.0
196,Khandyga,RU,2020-04-20 06:47:46,62.67,135.6,22.59,84,12,3.44,few clouds,0.0,0.0
197,Avera,US,2020-04-20 06:47:46,33.19,-82.53,59.0,95,75,7.56,heavy intensity rain,0.0,0.0
198,Mglin,RU,2020-04-20 06:47:47,53.06,32.85,39.16,68,0,11.45,clear sky,0.0,0.0
199,Ovalle,CL,2020-04-20 06:47:47,-30.6,-71.2,57.11,71,1,0.63,clear sky,0.0,0.0
200,Iquitos,PE,2020-04-20 06:47:47,-3.75,-73.25,71.6,94,20,0.85,mist,0.0,0.0
201,Seddon,AU,2020-04-20 06:47:47,-37.81,144.89,66.2,42,50,14.99,scattered clouds,0.0,0.0
202,Narok,KE,2020-04-20 06:47:47,-1.08,35.86,59.88,53,100,1.66,moderate rain,0.20590551181102365,0.0
203,Touros,BR,2020-04-20 06:47:47,-5.2,-35.46,75.2,94,40,4.7,scattered clouds,0.0,0.0
204,Nishihara,JP,2020-04-20 06:47:48,26.18,127.76,71.6,73,75,6.93,broken clouds,0.0,0.0
205,Mnogovershinnyy,RU,2020-04-20 06:47:48,53.94,139.92,24.21,96,100,16.2,snow,0.0,0.07401574803149606
206,Junction City,US,2020-04-20 06:47:48,39.03,-96.83,53.6,50,1,11.41,clear sky,0.0,0.0
