City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,Cockburn Town,21.46,-71.14,79.18,82,7,16.49,TC,2020-04-20 00:06:20
182,Katsuura,35.13,140.3,51.8,93,75,6.93,JP,2020-04-20 00:06:21
183,Tura,25.52,90.22,68.61,85,26,1.66,IN,2020-04-20 00:06:21
184,Oudtshoorn,-33.59,22.2,59.0,77,0,3.36,ZA,2020-04-20 00:06:21
185,Opuwo,-18.06,13.84,69.42,54,57,7.16,NA,2020-04-20 00:06:21
186,Champerico,14.3,-91.92,84.49,64,38,4.7,GT,2020-04-20 00:06:21
187,Qasigiannguit,68.82,-51.19,30.2,54,100,24.16,GL,2020-04-20 00:06:22
188,Saskylakh,71.92,114.08,17.15,95,2,3.6,RU,2020-04-20 00:06:22
189,Hambantota,6.12,81.12,81.68,82,76,9.46,LK,2020-04-20 00:06:22
190,Touros,-5.2,-35.46,78.8,88,20,3.36,BR,2020-04-20 00:06:22
191,Ahipara,-35.17,173.17,63.28,90,100,5.37,NZ,2020-04-20 00:06:22
192,Pochutla,15.74,-96.47,86.0,66,40,17.22,MX,2020-04-20 00:05:44
193,Chokurdakh,70.63,147.92,7.12,94,86,11.52,RU,2020-04-20 00:06:01
194,Jeremie,18.65,-74.12,78.17,74,33,1.48,HT,2020-04-20 00:06:23
195,Mount Isa,-20.73,139.5,82.4,20,75,6.93,AU,2020-04-20 00:06:10
196,Benguela,-12.58,13.41,78.26,82,99,11.18,AO,2020-04-20 00:06:18
197,Newport,51.59,-3.0,48.0,78,37,1.01,GB,2020-04-20 00:01:46
198,Keffi,8.85,7.87,75.58,72,97,2.46,NG,2020-04-20 00:06:24
199,Mar Del Plata,-38.0,-57.56,66.99,82,29,6.93,AR,2020-04-20 00:02:24
200,Roald,62.58,6.13,41.0,93,0,10.29,NO,2020-04-20 00:06:24
201,Lorengau,-2.02,147.27,84.47,75,46,7.65,PG,2020-04-20 00:06:25
202,Xining,36.62,101.77,39.6,27,100,3.62,CN,2020-04-20 00:05:05
203,Siderno,38.28,16.3,61.0,26,99,6.93,IT,2020-04-20 00:06:25
204,Pangnirtung,66.15,-65.71,-1.23,85,36,4.12,CA,2020-04-20 00:06:25
205,Mbini,1.57,9.61,77.0,100,40,5.82,GQ,2020-04-20 00:06:25
206,Chifeng,42.27,118.96,38.3,47,43,30.71,CN,2020-04-20 00:06:26
207,Nekhayevskiy,50.41,41.76,33.01,76,36,4.72,RU,2020-04-20 00:06:26
208,Asino,57.0,86.15,37.42,73,99,7.87,RU,2020-04-20 00:06:26
209,Sangar,63.92,127.47,17.08,82,24,1.79,RU,2020-04-20 00:06:26
210,Naryan-Mar,67.67,53.09,29.5,98,98,6.33,RU,2020-04-20 00:06:27
211,Kodinsk,58.69,99.18,29.77,88,0,3.69,RU,2020-04-20 00:06:27
212,Yaan,7.38,8.57,78.73,71,100,10.38,NG,2020-04-20 00:06:27
213,Qianguo,45.12,124.86,50.68,68,100,16.37,CN,2020-04-20 00:06:27
